month,year,amphoe_code,Rain_Avg
มกราคม,2010,9103,64.26
มกราคม,2010,9104,77.55
มกราคม,2010,9105,71.43
มกราคม,2010,9106,64.49
มกราคม,2010,9107,71.81
มกราคม,2010,9201,45.91
มกราคม,2010,9202,46.09
มกราคม,2010,9203,46
มกราคม,2010,9204,51.71
มกราคม,2010,9205,48.43
มกราคม,2010,9206,49.74
มกราคม,2010,9207,49.55
มกราคม,2010,9208,46.75
มกราคม,2010,9209,58.95
มกราคม,2010,9210,54.51
มกราคม,2010,9301,82.72
มกราคม,2010,9302,63.94
มกราคม,2010,9303,77.41
มกราคม,2010,9304,70.13
มกราคม,2010,9305,80.33
มกราคม,2010,9306,74.1
มกราคม,2010,9307,58.7
มกราคม,2010,9308,69.56
มกราคม,2010,9309,81.43
มกราคม,2010,9310,69.4
มกราคม,2010,9311,58.38
มกราคม,2010,9401,47.28
มกราคม,2010,9402,40.01
มกราคม,2010,9403,39.42
มกราคม,2010,9404,85.49
มกราคม,2010,9405,80.45
มกราคม,2010,9406,102.72
มกราคม,2010,9407,100.7
มกราคม,2010,9408,114.38
มกราคม,2010,9409,59.43
มกราคม,2010,9410,55.11
มกราคม,2010,9411,109.11
มกราคม,2010,9412,59.56
มกราคม,2010,9501,84.54
มกราคม,2010,9502,94.05
มกราคม,2010,9503,107.2
มกราคม,2010,9504,100.72
มกราคม,2010,9505,88.31
มกราคม,2010,9506,115.71
มกราคม,2010,9507,83.21
มกราคม,2010,9508,123.23
มกราคม,2010,9601,124.03
มกราคม,2010,9602,124.65
มกราคม,2010,9603,114.47
มกราคม,2010,9604,123.44
มกราคม,2010,9605,121.61
มกราคม,2010,9606,119.13
